,player name,player link
312,Zeki Celik,https://www.transfermarkt.com/zeki-celik/profil/spieler/251075
313,Unai Simón,https://www.transfermarkt.com/unai-simon/profil/spieler/262396
314,Matteo Pessina,https://www.transfermarkt.com/matteo-pessina/profil/spieler/332179
315,Unai Núñez,https://www.transfermarkt.com/unai-nunez/profil/spieler/338285
316,Juan Musso,https://www.transfermarkt.com/juan-musso/profil/spieler/242359
317,Igor Zubeldia,https://www.transfermarkt.com/igor-zubeldia/profil/spieler/355628
318,Gaetano Castrovilli,https://www.transfermarkt.com/gaetano-castrovilli/profil/spieler/303116
319,Diego Rossi,https://www.transfermarkt.com/diego-rossi/profil/spieler/317454
320,Sébastien Haller,https://www.transfermarkt.com/sebastien-haller/profil/spieler/181375
321,Guido Rodríguez,https://www.transfermarkt.com/guido-rodriguez/profil/spieler/342385
322,Paul Onuachu,https://www.transfermarkt.com/paul-onuachu/profil/spieler/272855
323,Ismaïla Sarr,https://www.transfermarkt.com/ismaila-sarr/profil/spieler/410225
324,Yusuf Yazici,https://www.transfermarkt.com/yusuf-yazici/profil/spieler/386726
325,Lucas Digne,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664
326,James Ward-Prowse,https://www.transfermarkt.com/james-ward-prowse/profil/spieler/181579
327,Andrej Kramaric,https://www.transfermarkt.com/andrej-kramaric/profil/spieler/46580
328,Abdoulaye Doucouré,https://www.transfermarkt.com/abdoulaye-doucoure/profil/spieler/127187
